open_time,open,high,low,close,volume,n_trades
2020-02-10 08:00:00+00:00,25.07,25.907,24.81,25.414,123402.26,1734
2020-02-10 08:15:00+00:00,25.414,25.8,25.399,25.71,64601.99,1442
2020-02-10 08:30:00+00:00,25.72,25.75,24.837,24.9,70540.9,1858
2020-02-10 08:45:00+00:00,24.91,25.149,24.78,25.053,44228.38,1583
2020-02-10 09:00:00+00:00,25.054,25.054,24.5,24.61,27107.29,802
2020-02-10 09:15:00+00:00,24.645,24.828,24.204,24.326,26847.32,935
2020-02-10 09:30:00+00:00,24.301,24.575,24.1,24.5,22075.6,731
2020-02-10 09:45:00+00:00,24.501,24.751,24.5,24.65,17857.92,609
2020-02-10 10:00:00+00:00,24.653,24.653,24.32,24.32,27670.33,756
2020-02-10 10:15:00+00:00,24.315,24.406,24.031,24.326,24401.21,823
2020-02-10 10:30:00+00:00,24.338,24.825,24.3,24.762,19676.14,623
2020-02-10 10:45:00+00:00,24.779,24.898,24.6,24.816,21567.72,707
2020-02-10 11:00:00+00:00,24.819,24.89,24.65,24.687,15354.59,512
2020-02-10 11:15:00+00:00,24.699,24.7,24.333,24.425,24095.73,748
2020-02-10 11:30:00+00:00,24.401,24.467,24.262,24.437,23856.77,574
2020-02-10 11:45:00+00:00,24.431,24.555,24.419,24.555,13253.42,405
2020-02-10 12:00:00+00:00,24.554,24.566,24.38,24.531,20050.64,492
2020-02-10 12:15:00+00:00,24.513,24.739,24.498,24.67,17125.76,518
2020-02-10 12:30:00+00:00,24.67,24.919,24.67,24.919,15915.59,437
2020-02-10 12:45:00+00:00,24.91,25.079,24.825,24.907,31287.45,913
2020-02-10 13:00:00+00:00,24.893,25.387,24.891,25.322,32800.36,866
2020-02-10 13:15:00+00:00,25.325,25.401,25.019,25.074,57310.54,1589
2020-02-10 13:30:00+00:00,25.057,25.115,24.9,25.093,30484.18,906
2020-02-10 13:45:00+00:00,25.095,25.096,24.994,25.048,14297.64,385
2020-02-10 14:00:00+00:00,25.047,25.047,24.7,24.831,29483.7,787
2020-02-10 14:15:00+00:00,24.831,24.988,24.829,24.95,12991.54,372
2020-02-10 14:30:00+00:00,24.951,25.2,24.945,25.133,23514.44,531
2020-02-10 14:45:00+00:00,25.136,25.152,24.894,24.899,31980.27,675
2020-02-10 15:00:00+00:00,24.894,25.12,24.889,25.068,18161.46,462
2020-02-10 15:15:00+00:00,25.094,25.266,24.999,25.15,26017.91,578
2020-02-10 15:30:00+00:00,25.15,25.295,25.111,25.111,23090.47,520
2020-02-10 15:45:00+00:00,25.111,25.206,25.087,25.113,17694.07,343
2020-02-10 16:00:00+00:00,25.105,25.5,25.105,25.454,29503.16,722
2020-02-10 16:15:00+00:00,25.49,25.55,25.4,25.508,26940.35,728
2020-02-10 16:30:00+00:00,25.507,25.541,25.337,25.395,20789.08,593
2020-02-10 16:45:00+00:00,25.392,25.406,25.155,25.23,28054.58,715
2020-02-10 17:00:00+00:00,25.23,25.293,25.066,25.132,25890.53,662
2020-02-10 17:15:00+00:00,25.141,25.214,25.132,25.2,13149.72,308
2020-02-10 17:30:00+00:00,25.201,25.352,25.2,25.288,16463.08,414
2020-02-10 17:45:00+00:00,25.289,25.5,25.287,25.464,12786.96,347
2020-02-10 18:00:00+00:00,25.463,25.472,25.343,25.46,12268.4,325
2020-02-10 18:15:00+00:00,25.455,25.486,25.424,25.453,8763.64,268
2020-02-10 18:30:00+00:00,25.453,25.463,25.409,25.439,7450.31,209
2020-02-10 18:45:00+00:00,25.433,25.433,25.273,25.273,10296.97,293
2020-02-10 19:00:00+00:00,25.28,25.442,25.263,25.442,9688.26,333
2020-02-10 19:15:00+00:00,25.427,25.503,25.408,25.439,10594.08,335
2020-02-10 19:30:00+00:00,25.431,25.437,25.35,25.402,15452.47,404
