low_q,high_q,mid_q,adx_threshold,max_loss_pct_of_cap,beta_window,pct_lookback,max_hold_bars,n_trades,n_is,n_oos,is_sharpe,oos_sharpe,min_sharpe
0.3,0.92,0.55,15.0,0.01,500,2500,150,560,481,79,0.7448441946605403,2.409045433197003,0.7448441946605403
0.3,0.92,0.55,15.0,0.01,500,2500,300,457,399,58,0.7554801843552094,2.51916581157649,0.7554801843552094
0.3,0.92,0.55,15.0,0.02,100,750,150,857,732,125,-0.37952765845076414,0.00721587685556265,-0.37952765845076414
0.3,0.92,0.55,15.0,0.02,100,750,300,818,697,121,-0.285538697694586,-0.23922458834250931,-0.285538697694586
0.3,0.92,0.55,15.0,0.02,100,1500,150,796,671,125,-0.2864409192317181,0.23240630343768456,-0.2864409192317181
0.3,0.92,0.55,15.0,0.02,100,1500,300,751,632,119,0.04610530133175495,0.4830906343027648,0.04610530133175495
0.3,0.92,0.55,15.0,0.02,100,2500,150,748,627,121,0.3166113191738632,-0.14133523510324783,-0.14133523510324783
0.3,0.92,0.55,15.0,0.02,100,2500,300,697,583,114,-0.7253932437702256,0.0010843970911931684,-0.7253932437702256
0.3,0.92,0.55,15.0,0.02,200,750,150,708,601,107,0.013111519320305376,0.8701783592779418,0.013111519320305376
0.3,0.92,0.55,15.0,0.02,200,750,300,634,532,102,-0.04499219795472712,0.6657267406653293,-0.04499219795472712
0.3,0.92,0.55,15.0,0.02,200,1500,150,648,541,107,0.11222795261409838,0.5177818944309414,0.11222795261409838
0.3,0.92,0.55,15.0,0.02,200,1500,300,572,474,98,0.05947070537198524,0.8394844380087677,0.05947070537198524
0.3,0.92,0.55,15.0,0.02,200,2500,150,625,522,103,0.014611224489207866,0.4180512821291426,0.014611224489207866
0.3,0.92,0.55,15.0,0.02,200,2500,300,553,459,94,-0.17579204985114488,0.7615272189938598,-0.17579204985114488
0.3,0.92,0.55,15.0,0.02,400,750,150,622,526,96,0.2849503716941737,0.9684539751123682,0.2849503716941737
0.3,0.92,0.55,15.0,0.02,400,750,300,511,437,74,0.5850199313318261,1.3669341466332163,0.5850199313318261
0.3,0.92,0.55,15.0,0.02,400,1500,150,547,465,82,0.7034884644260979,1.2323489541402666,0.7034884644260979
0.3,0.92,0.55,15.0,0.02,400,1500,300,427,366,61,0.8544268838006688,1.8336011093359346,0.8544268838006688
0.3,0.92,0.55,15.0,0.02,400,2500,150,519,441,78,0.7044522311198964,0.8137537853973815,0.7044522311198964
